대여일자,대여시간,대여소번호,대여소명,이용건수,월,일,요일,지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),요일_0,요일_1,요일_2,요일_3,요일_4,요일_5,요일_6
2022-01-04,13,502,502. 뚝섬유원지역 1번출구 앞,3,1,4,1,108,서울,2022-01-04 13:00:00,-0.5,0.0,2.9,43,0,1,0,0,0,0,0
2022-01-04,14,502,502. 뚝섬유원지역 1번출구 앞,1,1,4,1,108,서울,2022-01-04 14:00:00,0.0,0.0,3.6,37,0,1,0,0,0,0,0
2022-01-04,15,502,502. 뚝섬유원지역 1번출구 앞,3,1,4,1,108,서울,2022-01-04 15:00:00,0.9,0.0,3.5,32,0,1,0,0,0,0,0
2022-01-04,16,502,502. 뚝섬유원지역 1번출구 앞,7,1,4,1,108,서울,2022-01-04 16:00:00,0.7,0.0,3.0,29,0,1,0,0,0,0,0
2022-01-04,17,502,502. 뚝섬유원지역 1번출구 앞,9,1,4,1,108,서울,2022-01-04 17:00:00,-0.4,0.0,2.8,29,0,1,0,0,0,0,0
2022-01-04,18,502,502. 뚝섬유원지역 1번출구 앞,11,1,4,1,108,서울,2022-01-04 18:00:00,-1.7,0.0,2.2,31,0,1,0,0,0,0,0
2022-01-04,19,502,502. 뚝섬유원지역 1번출구 앞,15,1,4,1,108,서울,2022-01-04 19:00:00,-2.6,0.0,0.7,35,0,1,0,0,0,0,0
2022-01-04,20,502,502. 뚝섬유원지역 1번출구 앞,5,1,4,1,108,서울,2022-01-04 20:00:00,-2.5,0.0,2.5,34,0,1,0,0,0,0,0
2022-01-04,21,502,502. 뚝섬유원지역 1번출구 앞,1,1,4,1,108,서울,2022-01-04 21:00:00,-3.5,0.0,0.8,37,0,1,0,0,0,0,0
2022-01-04,22,502,502. 뚝섬유원지역 1번출구 앞,2,1,4,1,108,서울,2022-01-04 22:00:00,-4.4,0.0,1.0,41,0,1,0,0,0,0,0
